read.csv("test/data/tidy/data_cleaned.csv")study,es_id,yi,vi,sei,target_group,format,diagnosis,type,control,region,risk_of_bias,rob,rob_include_best,rob_exclude_worst,n_1,n_2,sample_size
"aagaard, 2017",1,0,0.0535714285714286,0.231455024943138,adults,group,diagnosis,cbt-based,cau,europe,some concern,3,0,1,40,35,75
"abas, 2018",2,0.551649025934374,0.149354913798069,0.386464634602015,general medical,individual,cut-off score,cbt-based,cau,other region,low,4,1,1,13,15,28
"abas, 2018",3,0.710417767645097,0.153150979891978,0.391345090542833,general medical,individual,cut-off score,cbt-based,cau,other region,low,4,1,1,13,15,28
"ahmadpanah, 2016",4,1.56819128194183,0.176629083264689,0.420272629687788,general medical,individual,subclinical depression,cbt-based,cau,other region,some concern,3,0,1,15,15,30
"ahmadpanah, 2016",5,1.7788677477509,0.189043507782923,0.434791338210552,general medical,group,subclinical depression,not-cbt-based,cau,other region,some concern,3,0,1,15,15,30
"alexopoulos, 2016",6,-0.215183490629242,0.03057826378148,0.174866416963007,general medical,individual,diagnosis,cbt-based,other ctr,north america,some concern,3,0,1,84,84,168
"alexopoulos, 2016",7,-0.170080987768604,0.0317716280244916,0.178245976180366,general medical,individual,diagnosis,cbt-based,other ctr,north america,some concern,3,0,1,84,84,168
"alfonso, 2009",8,2.11678772486755,0.104995679714302,0.324030368506259,older adults,individual,cut-off score,not-cbt-based,other ctr,europe,some concern,1,0,1,30,30,60
"alfonso, 2009",9,2.81735746277113,0.134564657952458,0.36683055755002,older adults,individual,cut-off score,not-cbt-based,cau,europe,some concern,1,0,1,30,30,60
"alhusen, 2021",10,1.45689151068139,0.0848229706390328,0.291243833649801,perinatal depression,group,cut-off score,cbt-based,cau,north america,some concern,1,0,1,30,30,60
"allart van dam, 2003",11,0.569637930381429,0.04239850255515,0.205908966670104,adults,group,subclinical depression,cbt-based,cau,europe,some concern,1,0,1,61,41,102
"amani, 2021",12,1.30735305055158,0.131417796128005,0.362515925343984,perinatal depression,group,cut-off score,cbt-based,wl,north america,some concern,2,0,1,22,16,38
"ammerman, 2013",13,0.943988689018691,0.047886846817671,0.218830635007238,perinatal depression,individual,diagnosis,cbt-based,cau,north america,some concern,3,0,1,47,46,93
"ammerman, 2013",14,0.881879726267443,0.0472669504996913,0.217409637550158,perinatal depression,individual,diagnosis,cbt-based,cau,north america,some concern,3,0,1,47,46,93
"ammerman, 2013",15,0.781053760453317,0.0463504291753312,0.21529149814921,perinatal depression,individual,diagnosis,cbt-based,cau,north america,some concern,3,0,1,47,46,93
"ammerman, 2013",16,0.9289937841114,0.0631448090913855,0.251286309001079,perinatal depression,individual,diagnosis,cbt-based,cau,north america,some concern,3,0,1,47,47,94
"andersson, 2005",17,0.954452252023103,0.0536431149355283,0.231609833417168,adults,guided self-help,cut-off score,cbt-based,other ctr,europe,some concern,3,0,1,36,49,85
