"","xvar","yvar","spec","k","fill"
"1",650,"pet-peese",0,13,"0"
"2",650,"p-uniform",0,13,"0"
"3",650,"fe",0,13,"0"
"4",650,"reml",0,13,"0"
"5",650,"rve",0,13,"0"
"6",650,"3-level",0,13,"0"
"7",650,"all rob",0,13,"0"
"8",650,"include_best",0,13,"0"
"9",650,"exclude_worst",0,13,"0"
"10",650,"all diagnoses",0,13,"0"
"11",650,"subclinical depression",0,13,"0"
"12",650,"cut-off score",0,13,"0"
"13",650,"diagnosis",0,13,"0"
"14",650,"all formats",0,13,"0"
"15",650,"other formats",0,13,"0"
"16",650,"guided self-help",0,13,"0"
"17",650,"individual",0,13,"0"
"18",650,"group",0,13,"0"
"19",650,"all groups",0,13,"0"
"20",650,"student population",0,13,"0"
"21",650,"other target groups",1,13,"13"
"22",650,"perinatal depression",0,13,"0"
"23",650,"older adults",0,13,"0"
"24",650,"general medical",0,13,"0"
"25",650,"adults",0,13,"0"
"26",650,"all control conditions",0,13,"0"
"27",650,"wl",0,13,"0"
"28",650,"other ctr",0,13,"0"
"29",650,"cau",0,13,"0"
"30",650,"all types",0,13,"0"
"31",650,"not-cbt-based",0,13,"0"
"32",650,"cbt-based",0,13,"0"
"33",326,"pet-peese",0,10,"0"
"34",326,"p-uniform",0,10,"0"
"35",326,"fe",0,10,"0"
"36",326,"reml",0,10,"0"
"37",326,"rve",0,10,"0"
"38",326,"3-level",0,10,"0"
"39",326,"all rob",0,10,"0"
"40",326,"include_best",0,10,"0"
"41",326,"exclude_worst",0,10,"0"
"42",326,"all diagnoses",0,10,"0"
"43",326,"subclinical depression",0,10,"0"
"44",326,"cut-off score",0,10,"0"
"45",326,"diagnosis",0,10,"0"
"46",326,"all formats",0,10,"0"
"47",326,"other formats",0,10,"0"
"48",326,"guided self-help",0,10,"0"
"49",326,"individual",0,10,"0"
"50",326,"group",0,10,"0"
"51",326,"all groups",0,10,"0"
"52",326,"student population",0,10,"0"
"53",326,"other target groups",0,10,"0"
"54",326,"perinatal depression",0,10,"0"
"55",326,"older adults",0,10,"0"
"56",326,"general medical",1,10,"10"
"57",326,"adults",0,10,"0"
"58",326,"all control conditions",0,10,"0"
"59",326,"wl",0,10,"0"
"60",326,"other ctr",0,10,"0"
"61",326,"cau",0,10,"0"
"62",326,"all types",0,10,"0"
"63",326,"not-cbt-based",0,10,"0"
"64",326,"cbt-based",0,10,"0"
"65",663,"pet-peese",0,10,"0"
"66",663,"p-uniform",0,10,"0"
"67",663,"fe",0,10,"0"
"68",663,"reml",0,10,"0"
"69",663,"rve",0,10,"0"
"70",663,"3-level",0,10,"0"
"71",663,"all rob",0,10,"0"
"72",663,"include_best",0,10,"0"
"73",663,"exclude_worst",0,10,"0"
"74",663,"all diagnoses",0,10,"0"
"75",663,"subclinical depression",0,10,"0"
